n	allocate	freeUp	freeDown	freeScattered
173	1287.28	393.051	1304.62	550.449
174	1286.73	398.235	1303.22	544.296
175	1289.87	395.092	1287.01	549.122
176	1292.84	395.622	1307.68	546.898
177	1285.79	389.745	1306.16	547.612
178	1299.42	393.112	1316	546.592
179	1283.01	393.429	1326.65	548.541
180	1295.74	396.949	1305.43	545.602
181	1303	401.245	1304.5	552.735
182	1287.87	394.031	1315.65	552.898
183	1281.36	392.582	1317.41	549.316
184	1299.4	401.214	1314.63	551.286
185	1414.92	436.786	1310.74	589.592
186	1265.55	380.765	1339.63	588.235
187	1420.26	446.929	1328.4	593.418
188	1417.09	444.684	1350.46	598.5
189	1421.39	442.827	1314.86	592.041
190	1422.82	450.357	1342.89	585.122
191	1429.89	442.959	1344.2	594.163
192	1433.27	448.133	1343.03	584.735
193	1428.33	444.194	1332.22	590.878
194	1428.37	450.847	1339	592.173
195	1430.85	446.316	1348.71	592.255
196	1437.35	450.133	1326.58	590.031
197	1426.34	443.255	1325.09	589.704
198	1422.91	447.929	1357.31	589.276
199	1425.35	441.939	1326.61	589.143
200	1412.81	437.98	1346.72	590.296
201	1538.03	484.694	1462.09	601.347
202	1514.21	469.918	1506.16	599.551
203	1516.77	486.378	1474.92	599.694
204	1518.34	475.286	1480.1	592.755
205	1514.05	474.561	1468.28	594.959
206	1511.43	468.439	1462.8	605.969
207	1541.82	487.694	1472.61	597.786
208	1529.91	473.367	1468.64	609.184
209	1523.3	479.612	1471.89	604.796
210	1525.85	470.173	1491.78	593.01
211	1536.86	479.5	1464.74	600.061
212	1517.7	467.908	1453.52	602.224
213	1512.05	472.306	1424.96	607.082
214	1520.62	474.082	1544.89	607.929
215	1522.72	474.316	1466.51	602.867
216	1527.13	471.745	1499.17	599.418
217	1607.35	504.337	1562.44	649.551
218	1611.02	491.316	1541.78	650.01
219	1611.53	496.745	1538.12	655.918
220	1616.76	497.439	1509.98	673.898
221	1618.24	505.561	1579.07	668.306
222	1624.76	508.061	1527.26	669.265
223	1619.95	510.296	1550.78	665.071
224	1606.54	501.735	1489.15	663.765
225	1630.01	503.735	1512.63	666.388
226	1622.53	499.041	1517.01	651.316
227	1641.33	511.582	1497.49	659.755
228	1620.8	504.827	1502.41	675.143
229	1618.09	501.857	1511.04	662.745
230	1601.93	496.327	1511.35	622.827
231	1605.08	501.694	1517.79	656.214
232	1605.78	498.816	1494.37	644.582
233	1670.78	913.5	1692.61	848.51
234	1675.43	921.776	1675.71	851.571
235	1697.95	935.51	1688.94	849.847
236	1684.4	924.969	1700.4	845.306
237	1682.81	921.755	1672.29	850.378
238	1680.14	923.531	1689.76	849.245
239	1676.08	918.429	1692.47	846.969
240	1690.67	932.255	1697.65	837.163
241	1669.78	922.306	1688.72	835.276
242	1675.43	928.102	1660.53	822.031
243	1681.04	921.663	1763.71	830.653
244	1673.24	926.939	1678.51	830.714
245	1693.79	925.561	1718.51	830.571
246	1694.31	927.408	1725.35	827.306
247	1685.84	922.765	1745.6	833.837
248	1677.6	915.847	1690.98	828.276
249	1782.34	559.633	1745.85	715.612
250	1780.86	553.939	1760.33	709.571
251	1768.54	548.929	1739.74	703.745
252	1771.65	553.469	1713.11	714.255
253	1770.64	562.5	1740.68	711.48
