#Dim	KD build	KD search	BF search	Combined
2	77.36734694	0.612244898	91.06122449	77.97959184
3	80.5		0.989795918	104.4081633	81.48979592
4	83.60204082	2.255102041	125.6632653	85.85714286
5	85.57142857	5.020408163	143.5102041	90.59183673
6	88.40816327	11.33673469	155.3469388	99.74489796
7	91.71428571	23.1122449	176.0306122	114.8265306
8	94.32653061	58.68367347	189.8877551	153.0102041
9	96.08163265	117.2244898	181.9285714	213.3061224
10	105.2959184	218.5204082	214.1632653	323.8163265
11	130.1632653	429.4795918	316.6938776	559.6428571
12	134.5714286	593.0816327	344.7653061	727.6530612
13	138.9489796	729.5204082	379.0918367	868.4693878
14	140.9591837	826.7959184	397.3163265	967.755102
15	144.2244898	897.8877551	411.4183673	1042.112245
16	146.6020408	945.5408163	432.3877551	1092.142857
17	147.7244898	980.6326531	422.6938776	1128.357143
18	151.3061224	1000.408163	463.5918367	1151.714286
19	154.2857143	1024.928571	475.6326531	1179.214286
20	156.755102	1053.316327	500.377551	1210.071429
21	149.2142857	1048.673469	486.1632653	1197.887755
22	124.6632653	927.7244898	372.3571429	1052.387755
23	127.377551	946.7040816	393.9591837	1074.081633
24	128.6428571	973.6020408	409.5918367	1102.244898
25	128.3979592	999.3877551	397.0612245	1127.785714
26	130.9897959	1033.061224	415.2857143	1164.05102
27	131.8979592	1065.163265	438.9693878	1197.061224
28	133.9183673	1088.040816	469.4285714	1221.959184
29	135.7857143	1110.183673	491.5612245	1245.969388
30	139.1938776	1132.72449	514.8163265	1271.918367
31	140.9081633	1156.285714	532.1530612	1297.193878
32	143.1326531	1174.602041	547.7040816	1317.734694
33	145.0816327	1195.255102	522.5306122	1340.336735
34	146.0408163	1212.27551	530.3979592	1358.316327
35	147.5		1231.397959	543.1836735	1378.897959
36	149.9693878	1252.744898	563.4693878	1402.714286
37	194.9285714	1547.602041	841.5510204	1742.530612
38	197.6836735	1577.673469	866.8265306	1775.357143
39	155.5918367	1308.77551	607.6122449	1464.367347
