#n	n=4096	n=8192	n=16384	n=32768	n=65536	n=131072
2	1.112244898	3.744897959	4.591836735	7.142857143	13.74489796	71.66326531
3	2.62244898	4.755102041	6.704081633	12.5	48.52040816	155.6122449
4	3.306122449	4.765306122	9.93877551	17.21428571	91.86734694	203.7857143
5	9.979591837	18.02040816	49.90816327	139.7755102	188.4387755	282.5
6	30.08163265	118.1122449	231.4285714	445.1530612	878.1734694	1749.102041
7	61.91836735	161.3673469	322	637.8265306	1357.938776	2877.489796
8	81.2755102	185.4489796	370.7244898	740.3979592	1594.22449	3469.142857
9	112.1632653	272.3877551	539.877551	952.6428571	2095.714286	3852.336735
10	113.0816327	228.0510204	439.8367347	868.1326531	1888.255102	4053.479592
11	118.5306122	322.9489796	628.9591837	899.5306122	2000.816327	4410.959184
12	157.1734694	333.5408163	664.9897959	987.3265306	2078.530612	4389.642857
13	120.5204082	255.9183673	507.6734694	1000.918367	2138.479592	4520.387755
14	126.4183673	267.5204082	522.9591837	1036.795918	2381.387755	4738.867347
15	126.7959184	264.0816327	524.5816327	1049.673469	2264.663265	5207.05102


2	7.724489796	24.56122449	36.16326531	98.16326531	177.9795918	357.7040816
3	9.448979592	17.64285714	34.35714286	106.3469388	207.0510204	416.5102041
4	10.75510204	18.81632653	55.76530612	122.3877551	239.7755102	484.3163265
5	12.75510204	25.44897959	65.47959184	172.8469388	292.7653061	538.6836735
6	11.10204082	22.17346939	67.01020408	147.7755102	298.2142857	624.9795918
7	12.98979592	25.26530612	79.34693878	167.0102041	335.7346939	710.377551
8	14.47959184	29.30612245	92.02040816	189.622449	380.5204082	768.5714286
9	16.87755102	34.65306122	131.5	249.2142857	547.7142857	1001.183673
10	16.54081633	41.02040816	117.6836735	237.2959184	474.9285714	1020.173469
11	17.2755102	54.44897959	170.3061224	267.122449	538	1276.693878
12	18.68367347	62.08163265	188.4183673	303.9387755	593.877551	1317.571429
13	18.07142857	60.52040816	157.1734694	326.377551	629.7142857	1437.153061
14	18.78571429	66.7755102	173.5204082	351.7959184	763.7040816	1578.653061
15	20.36734694	71.13265306	181.3469388	366.9387755	752.4897959	1814.704082


2	0.724489796	2.234693878	2.265306122	3.693877551	7.214285714	12.62244898
3	1.37755102	3.255102041	3.316326531	5.43877551	9.551020408	20.54081633
4	2.56122449	4	6.612244898	12.5	52.84693878	134.8979592
5	4.530612245	6.397959184	6.959183673	10.66326531	28.44897959	141.6632653
6	13.1122449	38.35714286	115.7346939	157.4489796	221.6122449	367.8673469
7	38.44897959	122.5306122	230.1734694	434.744898	920.3877551	2030.306122
8	91.75510204	220.6020408	427.0306122	693.7142857	1321.183673	2880.816327
9	89.76530612	189.744898	364.9795918	717.4693878	1531.938776	3468.27551
10	117.1938776	291.244898	523.4285714	796.1734694	1731.05102	3811.561224
11	151.4081633	283	445.2346939	852.5918367	1871.091837	3974.642857
12	114.4897959	242.5102041	481.6530612	917.1938776	1972.744898	4211.561224
13	156.7346939	332.4795918	547.877551	1106.27551	2281.489796	4309.642857
14	125.3265306	255.6326531	623.6938776	1344.387755	2366.255102	4666.540816


2	7.969387755	28.5	34.37755102	93.19387755	181.0102041	353.2959184
3	8.632653061	23.12244898	36.68367347	131.9081633	204.3061224	403.255102
4	10.97959184	19.07142857	46.10204082	115.2346939	235.2857143	471.0612245
5	11.85714286	23.2244898	54.65306122	129.9387755	263.6836735	687.2040816
6	11.89795918	20.84693878	82.3877551	157.622449	287.9897959	601.8265306
7	11.75510204	22.98979592	78.56122449	163.255102	323.5714286	772.6530612
8	13.44897959	27.59183673	115.2244898	204.1530612	366.3979592	745.9285714
9	14.7244898	30.85714286	100.2653061	208.0918367	411.4081633	1006.612245
10	17.80612245	43.65306122	140.2346939	231.7653061	464.255102	1063.887755
11	16.53061224	50.89795918	134.8061224	263.8061224	531.3163265	1180.040816
12	16.8877551	51.06122449	147.4693878	294.0714286	586.3265306	1317.234694
13	17.30612245	72.05102041	171.744898	362.4591837	734.122449	1408.989796
14	17.85714286	61.05102041	208.3367347	454.8367347	788.2653061	1599.714286

