#Dim	KD build	KD search	BF search	Combined
2	7.959183673	0.744897959	12.52040816	8.704081633
3	6.428571429	0.591836735	13.74489796	7.020408163
4	6.244897959	1.132653061	14.96938776	7.37755102
5	7.071428571	2.020408163	19.26530612	9.091836735
6	6.591836735	3.397959184	18.6122449	9.989795918
7	6.265306122	5.540816327	18.57142857	11.80612245
8	6.397959184	9.040816327	20.54081633	15.43877551
9	6.846938776	14.02040816	17.90816327	20.86734694
10	7.255102041	20.44897959	18.34693878	27.70408163
11	7.56122449	27.43877551	19.83673469	35
12	7.989795918	36.40816327	21.58163265	44.39795918
13	8.285714286	43.30612245	23.36734694	51.59183673
14	8.336734694	48.07142857	24.75510204	56.40816327
15	8.510204082	52.29591837	26.08163265	60.80612245
16	8.673469388	57.34693878	28		66.02040816
17	8.979591837	62.93877551	25.70408163	71.91836735
18	9.132653061	68.32653061	26.34693878	77.45918367
19	9.397959184	74.25510204	27.85714286	83.65306122
20	9.571428571	79.96938776	28.53061224	89.54081633
21	9.704081633	84.42857143	30.55102041	94.13265306
22	9.948979592	89.71428571	32.21428571	99.66326531
23	10.20408163	93.95918367	34.05102041	104.1632653
24	10.5		98.37755102	37.80612245	108.877551
25	10.54081633	102.5306122	36.54081633	113.0714286
26	10.76530612	106.622449	39.6122449	117.3877551
27	10.84693878	110.9183673	41.47959184	121.7653061
28	11.20408163	116.0918367	46.94897959	127.2959184
29	11.56122449	120.877551	49.15306122	132.4387755
30	11.65306122	125.3979592	52.29591837	137.0510204
31	11.95918367	129.9693878	54.74489796	141.9285714
32	12.21428571	133.7142857	59.14285714	145.9285714
33	12.45918367	138.0306122	56.89795918	150.4897959
34	12.80612245	141.8265306	58		154.6326531
35	12.89795918	145.1836735	61.13265306	158.0816327
36	13.2244898	149		62.13265306	162.2244898
37	13.37755102	152.6632653	64.48979592	166.0408163
38	13.51020408	156.5918367	67.35714286	170.1020408
39	13.78571429	159.4795918	70.65306122	173.2653061
