N       2^n
1	2.935887654622396
2	4.500803629557292
3	6.0914357503255205
4	7.837148030598958
5	9.385101318359375
6	10.921427408854166
7	12.520645141601562
8	13.980382283528646
9	15.631398518880209
10	17.148956298828125
11	18.804896036783855
12	20.226094563802082
13	21.791605631510418
14	23.310618082682293
15	24.886484781901043
16	26.389907836914062
17	28.079579671223957
18	29.645828247070312
19	31.23748779296875
20	32.82948303222656
21	34.407135009765625
22	35.970255533854164
23	37.44075012207031
24	38.7816162109375
25	40.407267252604164
26	41.95617167154948
27	43.5106201171875
28	45.14006551106771
29	46.87557474772135
30	54.69336954752604
31	61.80548095703125
32	69.05042521158855
33	76.70034790039062
34	84.81327311197917
35	92.21873982747395
36	99.94989522298177
37	106.26954142252605
38	114.00940958658855
39	122.47472127278645
40	128.88563028971353
41	137.14859517415366
42	143.0081329345703
43	152.0371856689453
44	159.36949666341147
45	165.09240214029947
46	173.7704620361328
47	181.43343607584634
48	188.17830912272134
49	198.6692148844401
50	204.27870178222656
51	213.1202646891276
52	220.63546244303384
53	226.73653666178384
54	235.01068115234375
55	238.86832173665366
56	246.0050506591797
57	254.7618153889974
58	260.89601643880206
59	267.3680877685547
60	279.4727376302083
61	285.6015879313151
62	290.72031656901044
63	298.6999816894531
64	306.9581807454427
