n     ../ValueBased/Qsort_straight	../ValueBased/Qsort_2_6_6	../ValueBased/Qsort_2_6_11	../ValueBased/Insertion
314	275	108	121	441
315	268	112	128	437
316	301	113	122	445
317	286	116	125	447
318	284	108	125	449
319	353	112	123	448
320	278	112	123	456
321	278	117	130	457
322	280	117	127	454
323	294	112	137	458
324	286	113	133	445
325	280	114	123	440
326	288	115	130	450
327	287	112	133	467
328	278	114	126	469
329	307	117	127	464
330	279	116	127	452
331	284	112	130	476
332	286	117	128	466
333	270	115	130	506
334	289	118	129	501
335	295	126	135	518
336	280	113	138	469
337	286	114	131	493
338	308	121	137	504
339	274	130	133	499
340	285	120	130	491
341	299	115	134	528
342	284	121	150	598
343	284	115	131	517
344	359	124	138	503
345	299	120	132	499
346	301	121	134	525
347	287	130	139	545
348	294	125	133	524
349	310	136	138	526
350	290	130	141	537
351	305	122	143	514
352	284	122	137	510
353	295	125	135	532
354	279	120	144	557
355	311	124	133	580
356	290	123	146	547
357	310	124	144	578
358	279	132	149	535
359	314	126	138	618
360	314	130	139	551
361	308	127	143	571
362	319	130	163	659
363	325	133	142	585
364	320	128	149	553
365	309	134	140	590
366	308	131	148	577
367	314	127	144	597
368	308	134	147	600
369	316	130	146	650
370	311	132	146	588
371	316	132	145	583
372	323	129	148	611
373	313	133	148	644
374	295	151	152	602
375	300	136	155	677
376	317	135	147	673
377	309	136	143	625
378	317	135	156	597
379	318	138	149	607
380	315	138	159	632
381	304	135	152	611
382	324	148	156	705
383	318	145	162	619
384	331	135	153	639
385	297	143	147	702
386	328	138	151	646
387	302	135	159	660
388	321	138	157	662
389	338	137	161	677
390	309	138	158	680
391	299	137	162	667
392	325	146	152	688
393	320	151	153	762
394	350	137	160	651
395	319	145	155	709
396	327	143	161	691
397	325	141	156	683
398	327	148	163	696
399	330	146	157	719
400	332	142	158	691
401	319	145	157	738
402	325	152	158	786
403	322	145	171	712
404	334	147	156	736
405	345	145	168	741
406	367	147	171	769
407	341	142	163	739
408	327	152	170	762
409	346	152	161	790
410	355	149	171	772
411	337	155	163	774
412	334	157	165	743
413	364	153	169	804
414	348	153	167	737
415	334	153	176	797
416	393	149	163	791
417	340	147	172	795
418	347	157	169	825
419	350	159	174	790
420	348	153	168	834
421	340	161	178	797
422	341	148	184	812
423	354	159	188	925
424	334	147	177	786
425	346	155	180	842
426	343	169	176	791
427	337	153	172	856
428	342	156	164	847
429	364	158	171	862
430	334	182	172	893
431	358	160	175	859
432	357	155	169	823
433	335	163	169	903
434	337	158	173	860
435	347	154	174	822
436	377	157	176	900
437	350	164	183	853
438	358	168	185	858
439	341	155	169	862
440	353	161	184	864
441	366	164	185	843
442	346	163	185	834
443	371	161	179	914
444	351	158	176	852
445	366	158	183	900
446	365	166	183	927
447	353	164	182	931
448	363	161	204	925
449	355	170	182	1000
450	349	171	177	1000
451	365	163	189	880
452	368	172	183	1000
453	368	170	178	913
454	352	166	176	1000
455	358	170	178	1000
456	360	165	191	940
457	381	169	187	1000
458	355	175	187	924
459	357	169	185	1000
